dateTimeA,dos1rateA,dateTimeB,dos1rateB,Lm_OPQ,MLT_OPQ,lat,lon,alt,Dist_In_Track,Lag_In_Track,Dist_Total,Loss_Cone_Type,cross_correlation,AE,burstType
2015-03-26 06:44:45.600000,520.003,2015-03-26 06:44:45.500000,350.002,-1e+31,22.22135,-75.53855,-158.164,705.596,241.733,32.2829,241.777,-1.0,0.83,239.0,flash
2015-03-27 18:00:16.399999,2560.01,2015-03-27 18:00:16.199999,870.005,2.680815,23.4284,54.8669,76.92255,669.9795,234.623,31.1933,234.655,1.0,-0.22,38.0,neither
2015-03-27 18:00:19.300000,2560.01,2015-03-27 18:00:19.399999,800.004,2.65911,23.4223,54.68575,76.83285,670.132,234.62,31.1934,234.6515,1.0,0.07,38.0,neither
2015-03-27 18:00:23.899999,2680.01,2015-03-27 18:00:23.800000,800.004,2.63097,23.4142,54.41845,76.7039,670.2155,234.616,31.1937,234.647,1.0,0.04,38.0,neither
2015-03-27 18:00:26.100000,2560.01,2015-03-27 18:00:26.199999,780.004,2.61067,23.40815,54.2818,76.63435,670.2865,234.613,31.1938,234.645,1.0,0.05,38.0,neither
2015-03-28 18:05:06.299999,2430.01,2015-03-28 18:05:06.400000,2120.01,2.26643,9.36013,40.9162,-122.5495,617.8195,229.776,30.334,229.809,1.0,0.63,108.0,neither
2015-03-28 18:05:13.699999,2280.01,2015-03-28 18:05:13.800000,1290.01,2.30021,9.34462,41.36855,-122.6905,618.0505,229.774,30.3344,229.807,1.0,0.12,108.0,neither
2015-03-29 06:30:15.400000,2770.02,2015-03-29 06:30:15.400000,2350.01,-1e+31,22.10535,-79.29915,-169.413,696.789,225.551,30.0823,225.585,-1.0,0.42,306.0,neither
2015-03-29 06:30:21.199999,2720.01,2015-03-29 06:30:21.399999,2360.01,-1e+31,22.1015,-79.53475,-170.903,696.5665,225.555,30.0818,225.59,-1.0,0.16,306.0,neither
2015-03-29 06:30:23.899999,2210.01,2015-03-29 06:30:23.699999,2030.01,-1e+31,22.1001,-79.63185,-171.5585,696.52,225.557,30.0816,225.5915,-1.0,0.27,306.0,neither
2015-03-29 06:41:17.300000,370.002,2015-03-29 06:41:17.399999,630.003,5.751885,10.30665,-56.11565,67.20935,660.787,226.195,30.0273,226.231,0.0,0.67,330.0,neither
2015-03-29 06:41:25.100000,320.002,2015-03-29 06:41:25.300000,520.003,5.568515,10.30545,-55.64915,66.9657,660.307,226.205,30.0268,226.241,0.0,0.46,330.0,ambiguous
2015-03-29 08:16:19.300000,380.002,2015-03-29 08:16:19.199999,230.001,7.728735,10.02725,-65.9162,49.6175,671.4205,225.606,29.9871,225.641,0.0,0.72,217.0,neither
2015-03-29 08:16:49.100000,500.003,2015-03-29 08:16:49.100000,490.003,6.884525,10.04955,-64.1931,48.08,669.5405,225.641,29.9849,225.676,0.0,0.73,217.0,ambiguous
2015-03-29 08:17:07.900000,380.002,2015-03-29 08:17:07.799999,460.002,6.433025,10.06135,-63.10385,47.2046,668.3485,225.662,29.9834,225.698,0.0,0.48,219.0,neither
2015-03-29 08:17:09.699999,460.002,2015-03-29 08:17:09.500000,590.003,6.38469,10.06265,-63.0019,47.12475,668.24,225.6645,29.9833,225.7,0.0,0.54,219.0,neither
2015-03-29 08:17:28.699999,570.003,2015-03-29 08:17:28.899999,640.003,5.952775,10.07395,-61.88125,46.2904,667.0035,225.688,29.982,225.723,0.0,0.38,219.0,curtain
2015-03-29 09:52:26.699999,300.002,2015-03-29 09:52:26.500000,290.002,8.01058,9.95812,-71.65125,32.25655,677.4485,225.184,29.9534,225.218,0.0,0.28,403.0,neither
2015-03-29 20:17:22.100000,300.002,2015-03-29 20:17:22.300000,410.002,5.96038,7.74019,66.65145,-167.4705,636.9755,223.996,29.6319,224.0225,1.0,0.86,258.0,flash
2015-03-29 20:17:45.700000,340.002,2015-03-29 20:17:45.799999,380.002,6.57773,7.587955,68.0071,-168.913,638.16,223.979,29.6335,224.006,1.0,0.43,258.0,neither
2015-03-29 20:18:16,200.001,2015-03-29 20:18:15.800000,450.002,7.49677,7.372535,69.7234,-171.0135,639.595,223.955,29.6354,223.981,1.0,0.53,254.0,curtain
2015-03-29 21:07:58.700000,330.002,2015-03-29 21:07:58.500000,680.004,5.41715,19.3479,-71.39615,-5.73331,700.4325,222.1,29.6413,222.134,0.0,-0.02,119.0,neither
2015-03-29 21:17:52.299999,460.002,2015-03-29 21:17:52.399999,480.003,5.96533,13.0982,-69.35685,-142.236,673.8115,222.564,29.5909,222.598,1.0,0.33,122.0,ambiguous
2015-04-03 18:00:15.800000,2929.72,2015-04-03 18:00:16,1380.01,1.51882,23.01355,38.36615,71.82465,689.962,196.988,26.2769,197.016,1.0,0.44,281.0,neither
2015-04-03 18:00:18.399999,3130.02,2015-04-03 18:00:18.399999,1520.01,1.51321,23.0103,38.2162,71.7803,690.0915,196.987,26.2771,197.015,1.0,0.17,281.0,neither
2015-04-03 18:00:22.600000,2810.02,2015-04-03 18:00:22.800000,1480.01,1.503885,23.00515,37.95825,71.7055,690.1465,196.985,26.2773,197.012,1.0,0.2,281.0,neither
2015-04-03 18:00:25.399999,2600.01,2015-04-03 18:00:25.199999,1490.01,1.4972,23.0012,37.80225,71.65815,690.164,196.983,26.2772,197.009,1.0,0.16,281.0,neither
2015-04-03 18:00:29.899999,2560.01,2015-04-03 18:00:30,1540.01,1.48817,22.9961,37.52325,71.5772,690.2955,196.978,26.2771,197.005,1.0,0.17,281.0,neither
2015-04-04 00:24:04,850.005,2015-04-04 00:24:04.200000,1050.01,6.810055,0.900855,64.88115,-13.21365,680.5275,195.928,26.081,195.948,0.5,0.91,445.0,neither
2015-04-04 01:15:05.299999,539.949,2015-04-04 01:15:05.099999,870.005,9.004565,12.14095,-58.74565,150.028,651.3695,195.115,25.8655,195.139,1.0,0.48,175.0,flash
2015-04-04 17:26:55.200000,990.005,2015-04-04 17:26:55.299999,880.005,6.47513,13.08075,-79.3842,-58.19365,671.169,191.256,25.41565,191.279,0.0,0.73,125.0,flash
2015-04-04 18:00:15.300000,2140.01,2015-04-04 18:00:15.400000,1140.01,2.264515,9.416875,40.61745,-121.316,626.8775,192.659,25.4674,192.677,1.0,0.1,59.0,neither
2015-04-05 01:32:32.700000,120.001,2015-04-05 01:32:32.899999,130.001,-5e+30,19.6665,-80.3524,-102.55805,679.85,189.215,25.1757,189.237,-0.5,0.36,71.0,neither
2015-04-08 16:50:50.299999,390.002,2015-04-08 16:50:50.399999,170.001,11.15,0.1092652,73.38365,110.602,685.4515,170.399,22.6951,170.414,-1.0,0.31,89.0,neither
2015-04-08 19:56:48.600000,250.001,2015-04-08 19:56:48.799999,180.001,6.885775,7.613065,67.92865,-163.675,659.743,170.299,22.60125,170.3115,1.0,0.61,124.0,curtain
2015-04-08 19:57:16.500000,330.002,2015-04-08 19:57:16.600000,139.987,7.75383,7.40466,69.50595,-165.577,661.2705,170.278,22.6026,170.29,1.0,0.89,124.0,neither
2015-04-08 20:51:51.600000,260.001,2015-04-08 20:51:51.500000,190.001,8.40635,16.13505,-82.05495,-71.02935,666.7375,168.565,22.3859,168.58,0.0,0.57,32.0,neither
2015-04-14 06:00:15.400000,2640.01,2015-04-14 06:00:15.400000,2070.01,1.16196,10.33815,-11.00655,67.0077,617.5835,141.834,18.736,141.851,1.0,0.38,25.0,neither
2015-04-14 06:00:21.800000,2030.01,2015-04-14 06:00:21.800000,2150.01,1.15583,10.33735,-10.6114,66.9258,617.6585,141.837,18.7366,141.855,1.0,0.15,25.0,neither
2015-04-14 06:00:23.399999,2560.01,2015-04-14 06:00:23.399999,1980.01,1.153775,10.33715,-10.51259,66.90325,617.6565,141.838,18.7367,141.856,1.0,0.51,25.0,neither
2015-04-14 06:00:30.300000,2100.01,2015-04-14 06:00:30.199999,1780.01,1.146695,10.33625,-10.08965,66.8134,617.642,141.841,18.7373,141.859,1.0,0.36,25.0,neither
2015-04-14 08:47:35.799999,870.005,2015-04-14 08:47:35.700000,750.004,7.51741,22.5074,-63.1104,-172.2765,668.9065,140.805,18.71165,140.817,1.0,0.91,116.0,neither
2015-04-14 08:47:52.899999,320.002,2015-04-14 08:47:52.899999,1320.01,8.673985,22.5177,-64.1068,-173.078,668.5255,140.812,18.7108,140.823,1.0,0.44,116.0,neither
2015-04-14 17:44:33.200000,510.003,2015-04-14 17:44:33.100000,510.003,6.517845,8.333185,60.74635,-124.9805,666.5775,140.123,18.6176,140.131,1.0,0.48,662.0,ambiguous
2015-04-14 18:44:31,400.002,2015-04-14 18:44:30.800000,700.004,5.565815,13.25755,-76.38855,-90.54575,647.9005,139.376,18.4614,139.384,0.0,0.72,651.0,neither
2015-04-14 19:23:52.600000,430.002,2015-04-14 19:23:52.500000,2290.01,6.597245,7.80573,66.01315,-153.6465,671.803,139.715,18.5748,139.722,1.0,0.53,838.0,neither
2015-04-14 19:24:52.399999,570.003,2015-04-14 19:24:52.500000,610.003,8.416295,7.35579,69.4158,-157.4185,675.006,139.67,18.5759,139.677,0.5,0.57,795.0,ambiguous
2015-04-14 19:24:58.799999,640.003,2015-04-14 19:24:58.899999,730.004,8.622275,7.30473,69.77425,-157.886,675.2965,139.665,18.576,139.672,0.0,0.48,795.0,ambiguous
