Separation [km],CDF,PDF,CDF_std,PDF_std
0,1.0,0.05451640872484396,0.0647984890330874,0.01580907538046247
5,0.7274179563757802,0.03525136789478611,0.045269497773417676,0.011235558541880315
10,0.5511611169018497,0.028598474272981456,0.03326585283805339,0.008033256035061548
15,0.4081687455369424,0.0113093245461097,0.022510288716013724,0.005884098730802206
20,0.3516221228063939,0.011794583207275278,0.018943398553781438,0.004857600428088712
25,0.2926492067700175,0.0030058128156082884,0.015200483518848416,0.004183473771498335
30,0.27762014269197605,0.004469118337175682,0.014369468351806903,0.0038997709922594984
35,0.25527455100609764,0.003909655446558175,0.013180429586630914,0.0035782120359680878
40,0.23572627377330677,0.004386776090689148,0.012098194504575326,0.0032569369730633623
45,0.21379239331986102,0.00483497995635977,0.010900672038555322,0.0029064764291174394
50,0.18961749353806218,0.0007445238325278491,0.00961069612115791,0.002688203775720729
55,0.18589487437542293,0.006951149723841333,0.009396568978182402,0.0024077923450515184
60,0.15113912575621627,0.0033341952197027238,0.007526027561767054,0.002008460866766497
65,0.13446814965770265,0.022524504064555147,0.006648818351619584,0.001345199246644841
70,0.021845629334926914,0.0,0.0010159920553394245,0.00028736594878486603
75,0.021845629334926914,0.0007427992085688145,0.0010159920553394245,0.00026372685548139654
80,0.01813163329208284,0.0027987736196585385,0.000840569153038468,0.0001723710010834888
85,0.004137765193790148,0.0,0.0001903616277596273,5.384239914661672e-05
90,0.004137765193790148,0.0,0.0001903616277596273,5.384239914661672e-05
