lower_sep,upper_sep,1th most common bin,2th most common bin,3th most common bin,4th most common bin,5th most common bin,# in 1th most common bin,# in 2th most common bin,# in 3th most common bin,# in 4th most common bin,# in 5th most common bin
0,5,5_L_6_9_MLT_10_400_AE_500,6_L_7_9_MLT_10_400_AE_500,4_L_5_8_MLT_9_300_AE_400,5_L_6_8_MLT_9_300_AE_400,6_L_7_8_MLT_9_200_AE_300,38,32,19,18,18
5,10,4_L_5_8_MLT_9_300_AE_400,5_L_6_8_MLT_9_300_AE_400,6_L_7_8_MLT_9_400_AE_500,6_L_7_7_MLT_8_300_AE_400,5_L_6_12_MLT_13_100_AE_200,26,25,19,18,18
10,15,5_L_6_9_MLT_10_200_AE_300,6_L_7_9_MLT_10_300_AE_400,4_L_5_9_MLT_10_200_AE_300,4_L_5_12_MLT_13_400_AE_500,5_L_6_12_MLT_13_400_AE_500,19,17,7,6,5
15,20,6_L_7_7_MLT_8_200_AE_300,6_L_7_10_MLT_11_0_AE_100,6_L_7_11_MLT_12_100_AE_200,6_L_7_8_MLT_9_400_AE_500,5_L_6_10_MLT_11_0_AE_100,16,12,8,7,7
20,25,6_L_7_8_MLT_9_0_AE_100,6_L_7_8_MLT_9_400_AE_500,6_L_7_0_MLT_1_400_AE_500,6_L_7_9_MLT_10_300_AE_400,5_L_6_8_MLT_9_300_AE_400,18,15,9,8,7
25,30,5_L_6_12_MLT_13_400_AE_500,6_L_7_8_MLT_9_300_AE_400,5_L_6_11_MLT_12_200_AE_300,6_L_7_11_MLT_12_400_AE_500,6_L_7_10_MLT_11_100_AE_200,12,11,10,10,9
30,35,6_L_7_10_MLT_11_200_AE_300,6_L_7_9_MLT_10_400_AE_500,6_L_7_10_MLT_11_100_AE_200,6_L_7_9_MLT_10_0_AE_100,5_L_6_9_MLT_10_300_AE_400,40,27,21,15,14
35,40,6_L_7_10_MLT_11_200_AE_300,6_L_7_8_MLT_9_100_AE_200,6_L_7_10_MLT_11_400_AE_500,6_L_7_7_MLT_8_200_AE_300,6_L_7_9_MLT_10_300_AE_400,13,10,10,9,9
40,45,6_L_7_9_MLT_10_300_AE_400,5_L_6_10_MLT_11_200_AE_300,6_L_7_10_MLT_11_200_AE_300,5_L_6_8_MLT_9_200_AE_300,5_L_6_8_MLT_9_400_AE_500,38,23,16,15,15
45,50,5_L_6_7_MLT_8_300_AE_400,4_L_5_11_MLT_12_300_AE_400,5_L_6_11_MLT_12_300_AE_400,6_L_7_8_MLT_9_0_AE_100,6_L_7_10_MLT_11_0_AE_100,20,13,12,11,10
50,55,6_L_7_10_MLT_11_200_AE_300,6_L_7_0_MLT_1_300_AE_400,6_L_7_10_MLT_11_300_AE_400,6_L_7_8_MLT_9_100_AE_200,5_L_6_10_MLT_11_200_AE_300,5,4,4,3,3
55,60,5_L_6_12_MLT_13_200_AE_300,5_L_6_10_MLT_11_300_AE_400,5_L_6_10_MLT_11_400_AE_500,4_L_5_12_MLT_13_200_AE_300,4_L_5_10_MLT_11_300_AE_400,16,14,12,12,11
60,65,5_L_6_10_MLT_11_200_AE_300,6_L_7_10_MLT_11_200_AE_300,6_L_7_10_MLT_11_400_AE_500,5_L_6_10_MLT_11_400_AE_500,4_L_5_10_MLT_11_400_AE_500,31,19,13,8,7
65,70,5_L_6_9_MLT_10_200_AE_300,6_L_7_10_MLT_11_200_AE_300,5_L_6_10_MLT_11_200_AE_300,6_L_7_9_MLT_10_100_AE_200,6_L_7_9_MLT_10_200_AE_300,19,19,17,14,13
70,75,6_L_7_10_MLT_11_100_AE_200,6_L_7_10_MLT_11_200_AE_300,6_L_7_10_MLT_11_300_AE_400,6_L_7_9_MLT_10_0_AE_100,6_L_7_9_MLT_10_200_AE_300,4,4,2,1,1
75,80,6_L_7_8_MLT_9_100_AE_200,5_L_6_8_MLT_9_100_AE_200,6_L_7_11_MLT_12_300_AE_400,6_L_7_13_MLT_14_0_AE_100,6_L_7_0_MLT_1_200_AE_300,3,2,2,2,1
80,85,6_L_7_9_MLT_10_300_AE_400,6_L_7_0_MLT_1_200_AE_300,5_L_6_9_MLT_10_300_AE_400,5_L_6_10_MLT_11_400_AE_500,6_L_7_10_MLT_11_0_AE_100,20,11,9,7,7
85,90,4_L_5_9_MLT_10_0_AE_100,4_L_5_0_MLT_1_0_AE_100,4_L_5_0_MLT_1_100_AE_200,4_L_5_0_MLT_1_200_AE_300,4_L_5_0_MLT_1_300_AE_400,1,0,0,0,0
90,95,4_L_5_0_MLT_1_0_AE_100,4_L_5_0_MLT_1_100_AE_200,4_L_5_0_MLT_1_200_AE_300,4_L_5_0_MLT_1_300_AE_400,4_L_5_0_MLT_1_400_AE_500,0,0,0,0,0
