Separation [km],Seconds
0,38935.6
10,22453.0
20,22906.8
30,55830.5
40,33795.3
50,12013.5
60,20029.8
70,13390.0
80,12075.5
90,6610.7
100,4178.3
110,0.0
120,1419.1
130,6535.0
140,4053.3
150,117.1
160,2303.7
170,4356.7
180,964.3
190,3729.1
200,3409.1
210,4719.9
220,4931.8
230,2428.3
240,784.5
250,0.0
260,0.0
270,0.0
280,0.0
290,0.0
300,0.0
310,0.0
320,0.0
330,0.0
340,0.0
350,0.0
360,0.0
370,0.0
380,0.0
390,0.0
400,0.0
410,0.0
420,0.0
430,0.0
440,0.0
450,53.1
460,859.1
470,0.0
480,0.0
490,0.0
