Separation [km],Seconds
0,10174.4
5,8956.3
10,2561.0999999999995
15,3590.6000000000004
20,2334.1000000000004
25,8239.3
30,17651.4
35,7094.8
40,7070.0
45,8965.800000000001
50,2465.5
55,4894.699999999999
60,4660.599999999999
65,4364.299999999999
70,4016.2
75,2482.8999999999996
80,4305.7
85,2856.7
90,191.70000000000002
95,2235.2
100,2139.8
105,946.9
110,0.0
115,0.0
120,0.0
125,1124.1
130,1934.5
135,1700.1
140,763.3
145,797.9
150,14.1
155,0.0
160,0.0
165,1197.5
170,1147.6
175,1615.1
180,498.9
185,208.8
190,1892.5
195,844.8
200,0.0
205,840.1
210,1679.5
215,1535.3000000000002
220,1824.9
225,1690.1
230,1738.1999999999998
235,47.0
240,566.8
245,0.0
250,0.0
255,0.0
260,0.0
265,0.0
270,0.0
275,0.0
280,0.0
285,0.0
290,0.0
295,0.0
300,0.0
305,0.0
310,0.0
315,0.0
320,0.0
325,0.0
330,0.0
335,0.0
340,0.0
345,0.0
350,0.0
355,0.0
360,0.0
365,0.0
370,0.0
375,0.0
380,0.0
385,0.0
390,0.0
395,0.0
400,0.0
405,0.0
410,0.0
415,0.0
420,0.0
425,0.0
430,0.0
435,0.0
440,0.0
445,0.0
450,0.0
455,35.0
460,589.8
465,85.9
470,0.0
475,0.0
480,0.0
485,0.0
490,0.0
495,0.0
