Separation [km],Seconds
0,16355.4
10,7287.9
20,10127.9
30,21750.2
40,14588.0
50,6825.9
60,8667.1
70,6995.2
80,7107.7
90,2117.8
100,2507.2
110,0.0
120,1005.8
130,3152.3
140,1993.8
150,28.2
160,1533.7
170,2895.2
180,498.4
190,2464.9
200,713.1
210,3025.0
220,3140.5
230,1583.2
240,468.4
250,0.0
260,0.0
270,0.0
280,0.0
290,0.0
300,0.0
310,0.0
320,0.0
330,0.0
340,0.0
350,0.0
360,0.0
370,0.0
380,0.0
390,0.0
400,0.0
410,0.0
420,0.0
430,0.0
440,0.0
450,25.0
460,589.0
470,0.0
480,0.0
490,0.0
