Separation [km],Seconds
0,6303.2
5,5771.799999999997
10,1791.8000000000002
15,3065.1000000000004
20,2172.3
25,6016.900000000001
30,12814.9
35,4625.9000000000015
40,4809.9000000000015
45,5922.5999999999985
50,2024.3
55,3469.1
60,3616.2000000000003
65,3011.0000000000005
70,3210.8
75,2028.9999999999998
80,3231.0
85,2267.8
90,179.6
95,1821.2
100,1437.1999999999998
105,553.2
110,0.0
115,0.0
120,0.0
125,850.5
130,1313.6000000000001
135,1037.6
140,543.0
145,892.6000000000001
150,18.8
155,0.0
160,0.0
165,1149.1
170,1047.7
175,1332.5
180,356.6
185,83.1
190,1424.1999999999998
195,744.1
200,0.0
205,487.7
210,1052.9
215,1106.7
220,1207.8
225,1197.1
230,1205.6999999999998
235,28.9
240,362.8
245,0.0
250,0.0
255,0.0
260,0.0
265,0.0
270,0.0
275,0.0
280,0.0
285,0.0
290,0.0
295,0.0
300,0.0
305,0.0
310,0.0
315,0.0
320,0.0
325,0.0
330,0.0
335,0.0
340,0.0
345,0.0
350,0.0
355,0.0
360,0.0
365,0.0
370,0.0
375,0.0
380,0.0
385,0.0
390,0.0
395,0.0
400,0.0
405,0.0
410,0.0
415,0.0
420,0.0
425,0.0
430,0.0
435,0.0
440,0.0
445,0.0
450,0.0
455,16.9
460,438.3
465,55.2
470,0.0
475,0.0
480,0.0
485,0.0
490,0.0
495,0.0
