Separation [km],Seconds
0,91806.1
5,77760.10000000002
10,25719.1
15,46883.9
20,30213.500000000007
25,102313.00000000001
30,226092.79999999996
35,85481.19999999998
40,81841.79999999999
45,89979.7
50,28153.200000000004
55,62901.799999999996
60,60662.399999999994
65,41137.9
70,25300.200000000004
75,30401.3
80,46958.80000000001
85,31140.699999999997
90,2909.6
95,26604.5
100,26946.5
105,12512.3
110,0.0
115,0.0
120,0.0
125,11014.9
130,22401.600000000002
135,20433.6
140,10332.800000000001
145,6857.3
150,86.9
155,0.0
160,0.0
165,8778.9
170,13457.0
175,21508.9
180,3797.6
185,2054.8
190,21779.0
195,8616.4
200,0.0
205,7483.0
210,16819.2
215,17910.4
220,19678.7
225,15941.400000000001
230,12319.6
235,394.4
240,9186.8
245,0.0
250,0.0
255,0.0
260,0.0
265,0.0
270,0.0
275,0.0
280,0.0
285,0.0
290,0.0
295,0.0
300,0.0
305,0.0
310,0.0
315,0.0
320,0.0
325,0.0
330,0.0
335,0.0
340,0.0
345,0.0
350,0.0
355,0.0
360,0.0
365,0.0
370,0.0
375,0.0
380,0.0
385,0.0
390,0.0
395,0.0
400,0.0
405,0.0
410,0.0
415,0.0
420,0.0
425,0.0
430,0.0
435,0.0
440,0.0
445,0.0
450,0.0
455,891.4
460,5163.0
465,470.4
470,0.0
475,0.0
480,0.0
485,0.0
490,0.0
495,0.0
