Separation [km],Seconds
0,678389.9
10,423565.9
20,403434.0
30,933832.9
40,544582.1
50,187751.3
60,345623.5
70,222475.1
80,193084.0
90,101378.3
100,62488.6
110,0.0
120,16085.4
130,101366.3
140,73312.4
150,1121.3
160,33969.5
170,64352.2
180,9192.0
190,52324.9
200,48342.5
210,66309.1
220,68552.8
230,36591.0
240,15305.9
250,0.0
260,0.0
270,0.0
280,0.0
290,0.0
300,0.0
310,0.0
320,0.0
330,0.0
340,0.0
350,0.0
360,0.0
370,0.0
380,0.0
390,0.0
400,0.0
410,0.0
420,0.0
430,0.0
440,0.0
450,1714.3
460,11876.6
470,0.0
480,0.0
490,0.0
