Separation [km],Seconds
0,687.2
1,5928.0
2,10433.499999999998
3,12133.900000000003
4,7958.700000000001
5,5097.2
6,7433.799999999999
7,9052.6
8,6233.899999999999
9,5289.700000000001
10,2750.0
11,2790.5000000000005
12,2356.7
13,1158.9
14,418.09999999999997
15,1950.1
16,2575.8
17,4178.9
18,3819.5
19,1780.2
20,3123.3000000000006
21,2596.1
22,860.1
23,1623.4
24,996.2
25,1237.6
26,2978.0999999999995
27,5736.099999999999
28,8814.0
29,12782.0
30,17580.800000000003
31,22032.399999999998
32,14060.8
33,7434.199999999999
34,4858.5
35,7814.000000000001
36,7792.5
37,2155.3
38,4702.4
39,3568.2999999999997
40,6560.199999999999
41,4482.0
42,4621.6
43,6101.9
44,4963.4
45,8840.199999999999
46,10989.800000000001
47,6955.699999999999
48,5884.2
49,776.0
50,462.4
51,2886.5
52,961.5
53,2431.4
54,2905.4
55,3149.2
56,5113.8
57,3846.1000000000004
58,2606.6
59,3734.7
60,3647.7999999999997
61,4550.3
62,4321.0
63,3252.4
64,1596.1
65,1616.5
66,2634.9
67,6051.0
68,3458.8
69,2258.1
70,2989.8
71,3519.3
72,2491.4
73,3619.2
74,608.4
75,1766.5
76,2071.4
77,2575.7000000000003
78,1154.3999999999999
79,1188.6
80,2802.1
81,2108.5
82,6799.599999999999
83,3091.1000000000004
84,479.6
85,326.6
86,2876.2000000000003
87,2698.4
88,2851.3
89,1744.8
90,91.6
91,0.0
92,0.0
93,24.1
94,739.3
95,2006.7
96,1627.1
97,1066.4
98,1559.1
99,2338.3
100,816.8
101,739.1
102,3878.7
103,2268.0
104,142.4
105,1898.8
106,1175.8
107,313.5
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,835.5
128,2224.6
129,1270.2
130,1355.5
131,1303.6000000000001
132,1651.4
133,1933.1
134,1029.8
135,327.0
136,1256.4
137,1048.4
138,1917.4
139,1517.9
140,1288.4
141,1228.7
142,0.0
143,0.0
144,430.7
145,277.4
146,209.1
147,599.2
148,1093.1999999999998
149,983.6
150,64.4
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,253.8
166,1089.8
167,847.5
168,1485.9
169,856.5
170,432.1
171,625.1
172,619.0
173,949.8
174,1752.5
175,1039.2
176,1136.6
177,1096.2
178,1051.4
179,1903.5
180,1391.7
181,368.1
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,708.7
190,1812.4
191,1216.5
192,1628.3
193,1377.3
194,1051.2
195,2144.4
196,878.9
197,252.5
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,758.4
208,975.5
209,1092.9
210,362.3
211,2099.7000000000003
212,1518.9
213,802.4
214,1306.6
215,1230.8
216,2231.7
217,635.7
218,952.6
219,717.0
220,965.1
221,1161.9
222,2205.8
223,1119.3
224,1305.0
225,1074.8
226,585.8
227,1591.6
228,1205.9
229,1820.8999999999999
230,1068.8
231,1174.3
232,1962.0
233,1619.9
234,550.5
235,176.9
236,0.0
237,0.0
238,0.0
239,0.0
240,127.1
241,812.5
242,675.1
243,312.8
244,161.5
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,127.1
459,2.8
460,522.6
461,332.0
462,440.1
463,583.9
464,338.2
465,0.0
466,2.0
467,182.2
468,80.9
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
