Separation [km],Seconds
2,43057.09999999999
7,26116.699999999997
12,8459.6
17,15498.0
22,7695.4
27,66945.30000000002
32,41960.0
37,21468.199999999997
42,35516.9
47,16964.8
52,14561.300000000001
57,18385.499999999993
62,13420.9
67,18277.0
72,10556.9
77,9829.3
82,13573.100000000002
87,7386.1
92,4397.2
97,6519.7
102,9363.7
107,313.5
112,0.0
117,0.0
122,0.0
127,6989.4
132,6197.7
137,7000.8
142,917.2
147,2740.4000000000005
152,0.0
157,0.0
162,1343.6
167,4247.1
172,5497.099999999999
177,5810.9
182,0.0
187,3737.6000000000004
192,7080.1
197,252.5
202,0.0
207,5288.8
212,7090.4
217,4432.3
222,6290.7
227,6861.5
232,4309.3
237,939.6
242,1149.4
247,0.0
252,0.0
257,0.0
262,0.0
267,0.0
272,0.0
277,0.0
282,0.0
287,0.0
292,0.0
297,0.0
302,0.0
307,0.0
312,0.0
317,0.0
322,0.0
327,0.0
332,0.0
337,0.0
342,0.0
347,0.0
352,0.0
357,0.0
362,0.0
367,0.0
372,0.0
377,0.0
382,0.0
387,0.0
392,0.0
397,0.0
402,0.0
407,0.0
412,0.0
417,0.0
422,0.0
427,0.0
432,0.0
437,0.0
442,0.0
447,0.0
452,0.0
457,984.5
462,1364.2
467,263.1
472,0.0
477,0.0
482,0.0
487,0.0
492,0.0
