Separation [km],Seconds
0,37141.299999999996
5,33107.20000000001
10,9474.2
15,14304.500000000002
20,9199.099999999999
25,31547.799999999996
30,65966.7
35,26032.499999999996
40,26729.100000000002
45,33445.9
50,9647.2
55,18450.399999999998
60,17367.6
65,16019.300000000003
70,13228.099999999999
75,8756.6
80,15280.9
85,10497.3
90,855.0
95,8597.6
100,7845.0
105,3388.1
110,0.0
115,0.0
120,0.0
125,4330.3
130,7273.4
135,6067.1
140,2947.7999999999997
145,3162.4999999999995
150,64.4
155,0.0
160,0.0
165,4533.5
170,4378.5
175,6226.9
180,1759.8
185,708.7
190,7085.7
195,3275.8
200,0.0
205,2826.8
210,6089.9
215,5767.8
220,6757.1
225,6279.0
230,6375.5
235,176.9
240,2089.0
245,0.0
250,0.0
255,0.0
260,0.0
265,0.0
270,0.0
275,0.0
280,0.0
285,0.0
290,0.0
295,0.0
300,0.0
305,0.0
310,0.0
315,0.0
320,0.0
325,0.0
330,0.0
335,0.0
340,0.0
345,0.0
350,0.0
355,0.0
360,0.0
365,0.0
370,0.0
375,0.0
380,0.0
385,0.0
390,0.0
395,0.0
400,0.0
405,0.0
410,0.0
415,0.0
420,0.0
425,0.0
430,0.0
435,0.0
440,0.0
445,0.0
450,0.0
455,129.9
460,2216.8
465,265.1
470,0.0
475,0.0
480,0.0
485,0.0
490,0.0
495,0.0
