# AC6 daily average separation
# Dist_Total (km),Count (days)
0,27
5,39
10,26
15,16
20,12
25,23
30,31
35,20
40,20
45,25
50,5
55,11
60,19
65,12
70,10
75,13
80,16
85,3
90,1
95,1
100,1
105,2
110,0
115,0
120,0
125,1
130,4
135,4
140,5
145,4
150,0
155,0
160,0
165,1
170,1
175,1
180,1
185,0
190,2
195,1
200,1
205,1
210,1
215,1
220,1
225,0
230,2
235,0
240,1
245,0
250,0
255,0
260,0
265,0
270,0
275,0
280,0
285,0
290,0
295,0
300,0
305,0
310,0
315,0
320,0
325,0
330,0
335,0
340,0
345,0
350,0
355,0
360,0
365,0
370,0
375,0
380,0
385,0
390,0
395,1
400,0
405,0
410,0
415,0
420,0
425,0
430,0
435,0
440,0
445,0
450,0
455,0
460,1
465,1
470,1
475,0
480,0
485,0
490,0
495,0
